"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1381","A019-Add item to cart and then remove it to test if the item is removed from cart","","Fri Jan 03 12:44:01 GMT 2025","passed","Fri Jan 03 12:44:02 GMT 2025","","Remove item from cart on sourceDemo Website","Remove item from cart on sourceDemo Website","A019-Add item to cart and then remove it to test if the item is removed from cart"
"","164","A037-Admin retrieves a non-existent book","","Fri Jan 03 12:41:37 GMT 2025","passed","Fri Jan 03 12:41:38 GMT 2025","","API Testing to Retrieve Book Details","API Testing to Retrieve Book Details","A037-Admin retrieves a non-existent book"
"","315","A029-Admin Adding book with missing data","","Fri Jan 03 12:43:45 GMT 2025","broken","Fri Jan 03 12:43:45 GMT 2025","","API Testing to Insert Books Data","API Testing to Insert Books Data","A029-Admin Adding book with missing data"
"","144","A033-Retrieve a list of books as a user","","Fri Jan 03 12:41:32 GMT 2025","passed","Fri Jan 03 12:41:32 GMT 2025","","API Testing to Retrieve All Books","API Testing to Retrieve All Books","A033-Retrieve a list of books as a user"
"","3545","A009-Verify filtering by Name (A to Z)","","Fri Jan 03 12:42:31 GMT 2025","passed","Fri Jan 03 12:42:35 GMT 2025","","sourceDemo Filter Functionality","sourceDemo Filter Functionality","A009-Verify filtering by Name (A to Z)"
"","4799","A002- user should be able to login using Valid Credentials and click on the add to cart option of the inventory page","","Fri Jan 03 12:41:42 GMT 2025","passed","Fri Jan 03 12:41:47 GMT 2025","","Add to Cart Feature in inventory page","Add to Cart Feature in inventory page","A002- user should be able to login using Valid Credentials and click on the add to cart option of the inventory page"
"","1093","Verify filtering by Name (Z to A)","","Fri Jan 03 12:42:35 GMT 2025","passed","Fri Jan 03 12:42:36 GMT 2025","","sourceDemo Filter Functionality","sourceDemo Filter Functionality","Verify filtering by Name (Z to A)"
"","320","A028-User successfully adds a new book","","Fri Jan 03 12:43:44 GMT 2025","broken","Fri Jan 03 12:43:44 GMT 2025","","API Testing to Insert Books Data","API Testing to Insert Books Data","A028-User successfully adds a new book"
"","4040","A004-User should log in to the system and Verify that when clicking on an item name it navigates to the item detail page","","Fri Jan 03 12:43:19 GMT 2025","passed","Fri Jan 03 12:43:23 GMT 2025","","Navigates to the item details page","Navigates to the item details page","A004-User should log in to the system and Verify that when clicking on an item name it navigates to the item detail page"
"","202","Adding book with invalid data","","Fri Jan 03 12:42:42 GMT 2025","passed","Fri Jan 03 12:42:42 GMT 2025","","API Testing to Invalid Type Data","API Testing to Invalid Type Data","Adding book with invalid data"
